Id,Index,Class,Type,Filename,Width,Height,MaxStack,Name,Description
10096,10096,Avatar,hair,hair_00205_f01.png,158,141,,,
10097,10097,Avatar,hair,hair_00206_f01.png,137,102,,,
10098,10098,Avatar,hair,hair_00208_f01.png,132,92,,,
10099,10099,Avatar,hair,hair_00209_f01.png,158,107,,,
10100,10100,Avatar,hair,hair_00210_f01.png,148,118,,,
10101,10101,Avatar,hair,hair_00212_f01.png,168,111,,,
10102,10102,Avatar,hair,hair_00218_f01.png,127,85,,,
10103,10103,Avatar,hair,hair_00220_f01.png,165,116,,,
10104,10104,Avatar,hair,hair_00221_f01.png,132,109,,,
10105,10105,Avatar,hair,hair_00224_f01.png,157,91,,,
10106,10106,Avatar,hair,hair_00225_f01.png,121,124,,,
10107,10107,Avatar,hair,hair_00227_f01.png,139,91,,,
10108,10108,Avatar,hair,hair_00228_f01.png,158,114,,,
10109,10109,Avatar,hair,hair_00229_f01.png,135,101,,,
10110,10110,Avatar,hair,hair_00230_f01.png,128,124,,,
10111,10111,Avatar,hair,hair_00232_f01.png,131,84,,,
10112,10112,Avatar,hair,hair_00233_f01.png,126,96,,,
10113,10113,Avatar,hair,hair_00234_f01.png,131,89,,,
10114,10114,Avatar,hair,hair_00235_f01.png,140,92,,,
10115,10115,Avatar,hair,hair_00236_f01.png,136,88,,,
10116,10116,Avatar,hair,hair_00237_f01.png,138,88,,,
10117,10117,Avatar,hair,hair_00238_f01.png,149,107,,,
10118,10118,Avatar,hair,hair_00239_f01.png,142,121,,,
10119,10119,Avatar,hair,hair_00240_f01.png,131,96,,,
10120,10120,Avatar,hair,hair_00245_f01.png,169,102,,,
10121,10121,Avatar,hair,hair_00248_f01.png,132,86,,,
10122,10122,Avatar,hair,hair_00249_f01.png,117,103,,,
10123,10123,Avatar,hair,hair_00250_f01.png,115,78,,,
10124,10124,Avatar,hair,hair_00251_f01.png,116,93,,,
10125,10125,Avatar,hair,hair_00252_f01.png,122,88,,,
10126,10126,Avatar,hair,hair_00253_f01.png,123,85,,,
10127,10127,Avatar,hair,hair_00254_f01.png,138,92,,,
10128,10128,Avatar,hair,hair_00255_f01.png,156,116,,,
10129,10129,Avatar,hair,hair_00257_f01.png,131,90,,,
10130,10130,Avatar,hair,hair_00258_f01.png,149,104,,,
10131,10131,Avatar,hair,hair_00259_f01.png,147,117,,,
10132,10132,Avatar,hair,hair_00260_f01.png,147,99,,,
10133,10133,Avatar,hair,hair_00262_f01.png,143,101,,,
10134,10134,Avatar,hair,hair_00264_f01.png,132,92,,,
10135,10135,Avatar,hair,hair_00265_f01.png,135,97,,,
10136,10136,Avatar,hair,hair_00267_f01.png,128,92,,,
10137,10137,Avatar,hair,hair_00270_f01.png,126,91,,,
10138,10138,Avatar,hair,hair_00272_f01.png,163,146,,,
10139,10139,Avatar,hair,hair_00273_f01.png,115,80,,,
10140,10140,Avatar,hair,hair_00274_f01.png,140,140,,,
10141,10141,Avatar,hair,hair_00275_f01.png,124,82,,,
10142,10142,Avatar,hair,hair_00276_f01.png,160,94,,,
10143,10143,Avatar,hair,hair_00277_f01.png,156,52,,,
10144,10144,Avatar,hair,hair_00278_f01.png,116,144,,,
10145,10145,Avatar,hair,hair_00281_f01.png,140,100,,,
10146,10146,Avatar,hair,hair_00282_f01.png,138,96,,,
10147,10147,Avatar,hair,hair_00704_f01.png,153,114,,,
10148,10148,Avatar,hair,hair_00706_f01.png,139,125,,,
10149,10149,Avatar,hair,hair_00707_f01.png,126,85,,,
10150,10150,Avatar,hair,hair_00709_f01.png,125,85,,,
10151,10151,Avatar,hair,hair_00711_f01.png,156,110,,,
10152,10152,Avatar,hair,hair_00713_f01.png,154,122,,,
10153,10153,Avatar,hair,hair_00714_f01.png,115,79,,,
10154,10154,Avatar,hair,hair_00715_f01.png,137,89,,,
10155,10155,Avatar,hair,hair_00717_f01.png,126,82,,,
10156,10156,Avatar,hair,hair_00719_f01.png,137,110,,,
10157,10157,Avatar,hair,hair_00720_f01.png,113,70,,,
10158,10158,Avatar,hair,hair_00721_f01.png,122,87,,,
10159,10159,Avatar,hair,hair_00723_f01.png,117,77,,,
10160,10160,Avatar,hair,hair_00725_f01.png,158,141,,,
10161,10161,Avatar,hair,hair_10005_f01.png,113,89,,,
10162,10162,Avatar,hair,hair_10009_f01.png,135,103,,,
10163,10163,Avatar,hair,hair_10010_f01.png,113,70,,,
10164,10164,Avatar,hair,hair_10011_f01.png,155,83,,,
10165,10165,Avatar,hair,hair_10012_f01.png,119,101,,,
10166,10166,Avatar,hair,hair_10013_f01.png,120,77,,,
10167,10167,Avatar,hair,hair_10019_f01.png,122,109,,,
10168,10168,Avatar,hair,hair_10026_f01.png,121,92,,,
10169,10169,Avatar,hair,hair_10028_f01.png,134,89,,,
10170,10170,Avatar,hair,hair_10030_f01.png,142,95,,,
10171,10171,Avatar,hair,hair_10031_f01.png,144,121,,,
20000,20000,Avatar,eye,expr_00001_a_00.png,70,21,,,
20001,20001,Avatar,eye,expr_00001_a_01.png,70,21,,,
20002,20002,Avatar,eye,expr_00001_a_02.png,70,21,,,
20003,20003,Avatar,eye,expr_00001_a_03.png,70,21,,,
20004,20004,Avatar,eye,expr_00001_a_04.png,70,20,,,
20005,20005,Avatar,eye,expr_00001_a_05.png,70,21,,,
20006,20006,Avatar,eye,expr_00001_a_06.png,73,19,,,
20007,20007,Avatar,eye,expr_00001_a_07.png,78,37,,,
20008,20008,Avatar,eye,expr_00001_a_08.png,70,18,,,
20009,20009,Avatar,eye,expr_00001_a_09.png,70,21,,,
20010,20010,Avatar,eye,expr_00002_a_00.png,78,20,,,
20011,20011,Avatar,eye,expr_00002_a_01.png,78,16,,,
20012,20012,Avatar,eye,expr_00002_a_02.png,78,16,,,
20013,20013,Avatar,eye,expr_00002_a_03.png,78,30,,,
20014,20014,Avatar,eye,expr_00002_a_04.png,72,24,,,
20015,20015,Avatar,eye,expr_00002_a_05.png,76,18,,,
20016,20016,Avatar,eye,expr_00002_a_06.png,84,18,,,
20017,20017,Avatar,eye,expr_00002_a_07.png,78,30,,,
20018,20018,Avatar,eye,expr_00002_a_08.png,80,20,,,
20019,20019,Avatar,eye,expr_00002_a_09.png,78,22,,,
20020,20020,Avatar,eye,expr_00003_a_00.png,74,24,,,
20021,20021,Avatar,eye,expr_00003_a_01.png,74,24,,,
20022,20022,Avatar,eye,expr_00003_a_02.png,74,24,,,
20023,20023,Avatar,eye,expr_00003_a_03.png,74,24,,,
20024,20024,Avatar,eye,expr_00003_a_04.png,76,28,,,
20025,20025,Avatar,eye,expr_00003_a_05.png,76,20,,,
20026,20026,Avatar,eye,expr_00003_a_06.png,84,22,,,
20027,20027,Avatar,eye,expr_00003_a_07.png,76,22,,,
20028,20028,Avatar,eye,expr_00003_a_08.png,76,22,,,
20029,20029,Avatar,eye,expr_00003_a_09.png,78,24,,,
20030,20030,Avatar,eye,expr_00004_a_00.png,74,20,,,
20031,20031,Avatar,eye,expr_00004_a_01.png,74,20,,,
20032,20032,Avatar,eye,expr_00004_a_02.png,72,12,,,
20033,20033,Avatar,eye,expr_00004_a_03.png,72,16,,,
20034,20034,Avatar,eye,expr_00004_a_04.png,72,24,,,
20035,20035,Avatar,eye,expr_00004_a_05.png,74,14,,,
20036,20036,Avatar,eye,expr_00004_a_06.png,74,36,,,
20037,20037,Avatar,eye,expr_00004_a_07.png,74,44,,,
20038,20038,Avatar,eye,expr_00004_a_08.png,74,18,,,
20039,20039,Avatar,eye,expr_00004_a_09.png,74,28,,,
20040,20040,Avatar,eye,expr_00005_a_00.png,64,20,,,
20041,20041,Avatar,eye,expr_00005_a_01.png,64,20,,,
20042,20042,Avatar,eye,expr_00005_a_02.png,64,20,,,
20043,20043,Avatar,eye,expr_00005_a_03.png,64,20,,,
20044,20044,Avatar,eye,expr_00005_a_04.png,68,22,,,
20045,20045,Avatar,eye,expr_00005_a_05.png,76,30,,,
20046,20046,Avatar,eye,expr_00005_a_06.png,76,30,,,
20047,20047,Avatar,eye,expr_00005_a_07.png,76,30,,,
20048,20048,Avatar,eye,expr_00005_a_08.png,68,18,,,
20049,20049,Avatar,eye,expr_00005_a_09.png,68,22,,,
20050,20050,Avatar,eye,expr_00006_a_00.png,76,14,,,
20051,20051,Avatar,eye,expr_00006_a_01.png,76,14,,,
20052,20052,Avatar,eye,expr_00006_a_02.png,74,18,,,
20053,20053,Avatar,eye,expr_00006_a_03.png,76,16,,,
20054,20054,Avatar,eye,expr_00006_a_04.png,74,22,,,
20055,20055,Avatar,eye,expr_00006_a_05.png,76,28,,,
20056,20056,Avatar,eye,expr_00006_a_06.png,82,48,,,
20057,20057,Avatar,eye,expr_00006_a_07.png,82,30,,,
20058,20058,Avatar,eye,expr_00006_a_08.png,76,14,,,
20059,20059,Avatar,eye,expr_00006_a_09.png,74,22,,,
20060,20060,Avatar,eye,expr_00007_a_00.png,80,24,,,
20061,20061,Avatar,eye,expr_00007_a_01.png,80,24,,,
20062,20062,Avatar,eye,expr_00007_a_02.png,78,12,,,
20063,20063,Avatar,eye,expr_00007_a_03.png,80,24,,,
20064,20064,Avatar,eye,expr_00007_a_04.png,78,26,,,
20065,20065,Avatar,eye,expr_00007_a_05.png,78,22,,,
20066,20066,Avatar,eye,expr_00007_a_06.png,78,36,,,
20067,20067,Avatar,eye,expr_00007_a_07.png,80,24,,,
20068,20068,Avatar,eye,expr_00007_a_08.png,76,16,,,
20069,20069,Avatar,eye,expr_00007_a_09.png,78,32,,,
20070,20070,Avatar,eye,expr_00008_a_00.png,74,18,,,
20071,20071,Avatar,eye,expr_00008_a_01.png,74,18,,,
20072,20072,Avatar,eye,expr_00008_a_02.png,74,18,,,
20073,20073,Avatar,eye,expr_00008_a_03.png,74,20,,,
20074,20074,Avatar,eye,expr_00008_a_04.png,74,18,,,
20075,20075,Avatar,eye,expr_00008_a_05.png,74,20,,,
20076,20076,Avatar,eye,expr_00008_a_06.png,74,40,,,
20077,20077,Avatar,eye,expr_00008_a_07.png,76,30,,,
20078,20078,Avatar,eye,expr_00008_a_08.png,74,26,,,
20079,20079,Avatar,eye,expr_00008_a_09.png,74,24,,,
20080,20080,Avatar,eye,expr_00009_a_00.png,72,18,,,
20081,20081,Avatar,eye,expr_00009_a_01.png,72,18,,,
20082,20082,Avatar,eye,expr_00009_a_02.png,68,18,,,
20083,20083,Avatar,eye,expr_00009_a_03.png,72,22,,,
20084,20084,Avatar,eye,expr_00009_a_04.png,74,20,,,
20085,20085,Avatar,eye,expr_00009_a_05.png,72,12,,,
20086,20086,Avatar,eye,expr_00009_a_06.png,72,28,,,
20087,20087,Avatar,eye,expr_00009_a_07.png,76,34,,,
20088,20088,Avatar,eye,expr_00009_a_08.png,72,28,,,
20089,20089,Avatar,eye,expr_00009_a_09.png,72,30,,,
20090,20090,Avatar,eye,expr_00010_a_00.png,82,20,,,
20091,20091,Avatar,eye,expr_00010_a_01.png,82,20,,,
20092,20092,Avatar,eye,expr_00010_a_02.png,82,18,,,
20093,20093,Avatar,eye,expr_00010_a_03.png,82,16,,,
20094,20094,Avatar,eye,expr_00010_a_04.png,82,22,,,
20095,20095,Avatar,eye,expr_00010_a_05.png,84,26,,,
20096,20096,Avatar,eye,expr_00010_a_06.png,86,48,,,
20097,20097,Avatar,eye,expr_00010_a_07.png,84,30,,,
20098,20098,Avatar,eye,expr_00010_a_08.png,84,30,,,
20099,20099,Avatar,eye,expr_00010_a_09.png,84,30,,,
20100,20100,Avatar,eye,expr_00011_a_00.png,76,16,,,
20101,20101,Avatar,eye,expr_00011_a_01.png,76,16,,,
20102,20102,Avatar,eye,expr_00011_a_02.png,78,16,,,
20103,20103,Avatar,eye,expr_00011_a_03.png,78,18,,,
20104,20104,Avatar,eye,expr_00011_a_04.png,78,16,,,
20105,20105,Avatar,eye,expr_00011_a_05.png,80,16,,,
20106,20106,Avatar,eye,expr_00011_a_06.png,84,48,,,
20107,20107,Avatar,eye,expr_00011_a_07.png,76,26,,,
20108,20108,Avatar,eye,expr_00011_a_08.png,80,40,,,
20109,20109,Avatar,eye,expr_00011_a_09.png,78,40,,,
20110,20110,Avatar,eye,expr_00012_a_00.png,74,20,,,
20111,20111,Avatar,eye,expr_00012_a_01.png,74,20,,,
20112,20112,Avatar,eye,expr_00012_a_02.png,74,16,,,
20113,20113,Avatar,eye,expr_00012_a_03.png,74,24,,,
20114,20114,Avatar,eye,expr_00012_a_04.png,74,20,,,
20115,20115,Avatar,eye,expr_00012_a_05.png,74,16,,,
20116,20116,Avatar,eye,expr_00012_a_06.png,78,34,,,
20117,20117,Avatar,eye,expr_00012_a_07.png,74,28,,,
20118,20118,Avatar,eye,expr_00012_a_08.png,74,24,,,
20119,20119,Avatar,eye,expr_00012_a_09.png,74,22,,,
20120,20120,Avatar,eye,expr_00013_a_00.png,74,24,,,
20121,20121,Avatar,eye,expr_00013_a_01.png,74,24,,,
20122,20122,Avatar,eye,expr_00013_a_02.png,74,24,,,
20123,20123,Avatar,eye,expr_00013_a_03.png,72,22,,,
20124,20124,Avatar,eye,expr_00013_a_04.png,74,24,,,
20125,20125,Avatar,eye,expr_00013_a_05.png,70,20,,,
20126,20126,Avatar,eye,expr_00013_a_06.png,72,52,,,
20127,20127,Avatar,eye,expr_00013_a_07.png,72,30,,,
20128,20128,Avatar,eye,expr_00013_a_08.png,74,20,,,
20129,20129,Avatar,eye,expr_00013_a_09.png,72,32,,,
20130,20130,Avatar,eye,expr_00014_a_00.png,78,20,,,
20131,20131,Avatar,eye,expr_00014_a_01.png,78,20,,,
20132,20132,Avatar,eye,expr_00014_a_02.png,78,20,,,
20133,20133,Avatar,eye,expr_00014_a_03.png,74,20,,,
20134,20134,Avatar,eye,expr_00014_a_04.png,74,20,,,
20135,20135,Avatar,eye,expr_00014_a_05.png,76,12,,,
20136,20136,Avatar,eye,expr_00014_a_06.png,76,28,,,
20137,20137,Avatar,eye,expr_00014_a_07.png,76,20,,,
20138,20138,Avatar,eye,expr_00014_a_08.png,72,20,,,
20139,20139,Avatar,eye,expr_00014_a_09.png,78,24,,,
20140,20140,Avatar,eye,expr_00015_a_00.png,74,16,,,
20141,20141,Avatar,eye,expr_00015_a_01.png,74,16,,,
20142,20142,Avatar,eye,expr_00015_a_02.png,74,16,,,
20143,20143,Avatar,eye,expr_00015_a_03.png,76,32,,,
20144,20144,Avatar,eye,expr_00015_a_04.png,74,16,,,
20145,20145,Avatar,eye,expr_00015_a_05.png,78,32,,,
20146,20146,Avatar,eye,expr_00015_a_06.png,80,32,,,
20147,20147,Avatar,eye,expr_00015_a_07.png,74,32,,,
20148,20148,Avatar,eye,expr_00015_a_08.png,80,16,,,
20149,20149,Avatar,eye,expr_00015_a_09.png,80,16,,,
20150,20150,Avatar,eye,expr_00016_a_00.png,78,39,,,
20151,20151,Avatar,eye,expr_00016_a_01.png,78,46,,,
20152,20152,Avatar,eye,expr_00016_a_02.png,78,46,,,
20153,20153,Avatar,eye,expr_00016_a_03.png,80,32,,,
20154,20154,Avatar,eye,expr_00016_a_04.png,78,19,,,
20155,20155,Avatar,eye,expr_00016_a_05.png,80,15,,,
20156,20156,Avatar,eye,expr_00016_a_06.png,82,30,,,
20157,20157,Avatar,eye,expr_00016_a_07.png,72,30,,,
20158,20158,Avatar,eye,expr_00016_a_08.png,72,26,,,
20159,20159,Avatar,eye,expr_00016_a_09.png,78,25,,,
20160,20160,Avatar,eye,expr_00017_a_00.png,78,44,,,
20161,20161,Avatar,eye,expr_00017_a_01.png,78,23,,,
20162,20162,Avatar,eye,expr_00017_a_02.png,80,19,,,
20163,20163,Avatar,eye,expr_00017_a_03.png,78,23,,,
20164,20164,Avatar,eye,expr_00017_a_04.png,78,25,,,
20165,20165,Avatar,eye,expr_00017_a_05.png,80,22,,,
20166,20166,Avatar,eye,expr_00017_a_06.png,78,50,,,
20167,20167,Avatar,eye,expr_00017_a_07.png,78,40,,,
20168,20168,Avatar,eye,expr_00017_a_08.png,76,30,,,
20169,20169,Avatar,eye,expr_00017_a_09.png,80,31,,,
20170,20170,Avatar,eye,expr_00018_a_00.png,74,31,,,
20171,20171,Avatar,eye,expr_00018_a_01.png,74,42,,,
20172,20172,Avatar,eye,expr_00018_a_02.png,74,42,,,
20173,20173,Avatar,eye,expr_00018_a_03.png,74,32,,,
20174,20174,Avatar,eye,expr_00018_a_04.png,74,28,,,
20175,20175,Avatar,eye,expr_00018_a_05.png,74,26,,,
20176,20176,Avatar,eye,expr_00018_a_06.png,86,30,,,
20177,20177,Avatar,eye,expr_00018_a_07.png,74,26,,,
20178,20178,Avatar,eye,expr_00018_a_08.png,81,31,,,
20179,20179,Avatar,eye,expr_00018_a_09.png,78,25,,,
20180,20180,Avatar,eye,expr_00019_a_00.png,74,44,,,
20181,20181,Avatar,eye,expr_00019_a_01.png,74,52,,,
20182,20182,Avatar,eye,expr_00019_a_02.png,74,52,,,
20183,20183,Avatar,eye,expr_00019_a_03.png,74,38,,,
20184,20184,Avatar,eye,expr_00019_a_04.png,72,22,,,
20185,20185,Avatar,eye,expr_00019_a_05.png,80,24,,,
20186,20186,Avatar,eye,expr_00019_a_06.png,80,26,,,
20187,20187,Avatar,eye,expr_00019_a_07.png,72,38,,,
20188,20188,Avatar,eye,expr_00019_a_08.png,84,19,,,
20189,20189,Avatar,eye,expr_00019_a_09.png,84,26,,,
20190,20190,Avatar,eye,expr_00020_a_00.png,66,33,,,
20191,20191,Avatar,eye,expr_00020_a_01.png,66,43,,,
20192,20192,Avatar,eye,expr_00020_a_02.png,66,37,,,
20193,20193,Avatar,eye,expr_00020_a_03.png,74,19,,,
20194,20194,Avatar,eye,expr_00020_a_04.png,68,29,,,
20195,20195,Avatar,eye,expr_00020_a_05.png,72,28,,,
20196,20196,Avatar,eye,expr_00020_a_06.png,82,29,,,
20197,20197,Avatar,eye,expr_00020_a_07.png,74,35,,,
20198,20198,Avatar,eye,expr_00020_a_08.png,66,24,,,
20199,20199,Avatar,eye,expr_00020_a_09.png,70,17,,,
20200,20200,Avatar,eye,expr_00021_a_00.png,70,46,,,
20201,20201,Avatar,eye,expr_00021_a_01.png,70,24,,,
20202,20202,Avatar,eye,expr_00021_a_02.png,70,24,,,
20203,20203,Avatar,eye,expr_00021_a_03.png,70,26,,,
20204,20204,Avatar,eye,expr_00021_a_04.png,70,26,,,
20205,20205,Avatar,eye,expr_00021_a_05.png,72,35,,,
20206,20206,Avatar,eye,expr_00021_a_06.png,78,28,,,
20207,20207,Avatar,eye,expr_00021_a_07.png,70,38,,,
20208,20208,Avatar,eye,expr_00021_a_08.png,74,19,,,
20209,20209,Avatar,eye,expr_00021_a_09.png,76,33,,,
20210,20210,Avatar,eye,expr_00022_a_00.png,76,34,,,
20211,20211,Avatar,eye,expr_00022_a_01.png,76,42,,,
20212,20212,Avatar,eye,expr_00022_a_02.png,76,17,,,
20213,20213,Avatar,eye,expr_00022_a_03.png,76,16,,,
20214,20214,Avatar,eye,expr_00022_a_04.png,76,20,,,
20215,20215,Avatar,eye,expr_00022_a_05.png,76,32,,,
20216,20216,Avatar,eye,expr_00022_a_06.png,82,26,,,
20217,20217,Avatar,eye,expr_00022_a_07.png,80,47,,,
20218,20218,Avatar,eye,expr_00022_a_08.png,76,14,,,
20219,20219,Avatar,eye,expr_00022_a_09.png,76,25,,,
20220,20220,Avatar,eye,expr_00023_a_00.png,78,38,,,
20221,20221,Avatar,eye,expr_00023_a_01.png,78,38,,,
20222,20222,Avatar,eye,expr_00023_a_02.png,78,38,,,
20223,20223,Avatar,eye,expr_00023_a_03.png,78,21,,,
20224,20224,Avatar,eye,expr_00023_a_04.png,78,43,,,
20225,20225,Avatar,eye,expr_00023_a_05.png,78,17,,,
20226,20226,Avatar,eye,expr_00023_a_06.png,78,18,,,
20227,20227,Avatar,eye,expr_00023_a_07.png,78,35,,,
20228,20228,Avatar,eye,expr_00023_a_08.png,78,27,,,
20229,20229,Avatar,eye,expr_00023_a_09.png,78,21,,,
20230,20230,Avatar,eye,expr_00024_a_00.png,82,39,,,
20231,20231,Avatar,eye,expr_00024_a_01.png,82,47,,,
20232,20232,Avatar,eye,expr_00024_a_02.png,82,19,,,
20233,20233,Avatar,eye,expr_00024_a_03.png,82,32,,,
20234,20234,Avatar,eye,expr_00024_a_04.png,82,19,,,
20235,20235,Avatar,eye,expr_00024_a_05.png,78,27,,,
20236,20236,Avatar,eye,expr_00024_a_06.png,80,34,,,
20237,20237,Avatar,eye,expr_00024_a_07.png,82,41,,,
20238,20238,Avatar,eye,expr_00024_a_08.png,82,19,,,
20239,20239,Avatar,eye,expr_00024_a_09.png,76,50,,,
20240,20240,Avatar,eye,expr_00025_a_00.png,76,38,,,
20241,20241,Avatar,eye,expr_00025_a_01.png,76,40,,,
20242,20242,Avatar,eye,expr_00025_a_02.png,76,21,,,
20243,20243,Avatar,eye,expr_00025_a_03.png,76,20,,,
20244,20244,Avatar,eye,expr_00025_a_04.png,76,23,,,
20245,20245,Avatar,eye,expr_00025_a_05.png,76,29,,,
20246,20246,Avatar,eye,expr_00025_a_06.png,76,39,,,
20247,20247,Avatar,eye,expr_00025_a_07.png,78,48,,,
20248,20248,Avatar,eye,expr_00025_a_08.png,76,37,,,
