id,*상점,*매직박스1,*기본,type,name,description,cat,sub_cat,bundle_size,useAction,infoAction,file_name,width,height,sellPrice,R,G,B,grade,*이미지,*색상,열1,*획득 방법,attributes
10008,,,,item,Pink Wavy Hair,Soft waves that flow gracefully.,Avatar,hair,1,,,hair_00090_f01.png,140,113,,255,148,148,,그림,핑크,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.59,""""z"""":-0.0015,""""r"""":""""1"""",""""g"""":""""0.5804"""",""""b"""":""""0.5804"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10009,,,,item,Sushi Top Hair,Playful hair styled to look like sushi toppings.,Avatar,hair,1,,,hair_00114_f01.png,113,89,,255,255,255,,그림,흰색,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.555,""""z"""":-0.0015,""""r"""":""""1"""",""""g"""":""""1"""",""""b"""":""""1"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10010,,,,item,Rolled Pigtails,Adorably rolled pigtails curled inward.,Avatar,hair,1,,,hair_00157_f01.png,157,124,,124,88,88,,그림,갈색,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.44,""""z"""":-0.0015,""""r"""":""""0.4863"""",""""g"""":""""0.3451"""",""""b"""":""""0.3451"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10011,,,,item,Rolled Bun Hair,Hair styled with four rolled buns.,Avatar,hair,1,,,hair_00159_f01.png,152,95,,225,237,176,,그림,상아색,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.525,""""z"""":-0.0015,""""r"""":""""0.8824"""",""""g"""":""""0.9294"""",""""b"""":""""0.6902"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10012,,,,item,Fire Blaze Hair,Hair on fire but in style.,Avatar,hair,1,,,hair_00177_f01.png,129,118,,255,53,53,,그림,빨강,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.585,""""z"""":-0.0015,""""r"""":""""1"""",""""g"""":""""0.2078"""",""""b"""":""""0.2078"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10013,,,,nft,Brown Rasta Hair,Braids that radiate chill vibes.,Avatar,hair,1,,,hair_00181_f01.png,136,100,,144,60,60,,그림,갈색,,nft,"""{""""x"""":0,""""y"""":0.58,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10014,,,,item,Ribbon Parted Hair,Elegantly tied with a ribbon.,Avatar,hair,1,,,hair_00182_f01.png,139,125,,69,62,60,,그림,검정,,생성 시 기본 선택,"""{""""x"""":0,""""y"""":0.44,""""z"""":-0.0015,""""r"""":""""0.2706"""",""""g"""":""""0.2431"""",""""b"""":""""0.2353"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10015,,,,item,Messy Shag Style,A carefree and effortlessly cool shaggy hairstyle.,Avatar,hair,1,,,hair_00187_f01.png,156,110,,180,149,103,basic,그림,연갈색,,생성 시 기본 선택,"""{""""x"""":0,""""y"""":0.59,""""z"""":-0.0015,""""r"""":""""0.7059"""",""""g"""":""""0.5843"""",""""b"""":""""0.4039"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10016,,,,item,Updo Hair,A sophisticated hairstyle tied up perfectly.,Avatar,hair,1,,,hair_00249_f01.png,117,103,,255,88,255,,그림,핑크,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.575,""""z"""":-0.0015,""""r"""":""""1"""",""""g"""":""""0.3451"""",""""b"""":""""1"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10017,,,,item,Long Wavy Hair,Graceful waves for days.,Avatar,hair,1,,,hair_00272_f01.png,163,146,,0,255,78,basic,그림,초록,,매직박스1에서 랜덤 획득,"""{""""x"""":0.005,""""y"""":0.415,""""z"""":0.0085,""""r"""":""""0"""",""""g"""":""""1"""",""""b"""":""""0.3059"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10018,,,,item,Snail Spiral Hair,Front hair swirled into a snail-like spiral.,Avatar,hair,1,,,hair_00243_f01.png,117,74,,255,10,79,,그림,빨강,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.56,""""z"""":-0.0015,""""r"""":""""1"""",""""g"""":""""0.0392"""",""""b"""":""""0.3098"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10019,,,,item,Thunder Strike Hair,Hair styled to strike like thunder.,Avatar,hair,1,,,hair_00278_f01.png,116,144,,10,218,255,,그림,하늘색,,매직박스1에서 랜덤 획득,"""{""""x"""":0,""""y"""":0.675,""""z"""":-0.0015,""""r"""":""""0.0392"""",""""g"""":""""0.8549"""",""""b"""":""""1"""",""""a"""":1,""""f"""":0,""""angle"""":0}"""
10020,,,,item,Twin Braid,,Avatar,hair,1,,,hair_00301.png,220,118,,164,143,118,,그림,연보라,,,"""{""""x"""":0,""""y"""":0.48,""""z"""":-0.0015,""""r"""":0.64314,""""g"""":0.56078,""""b"""":0.46275,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10021,,,,item,One Fire,,Avatar,hair,1,,,hair_00302.png,58,73,,65,63,51,,그림,회색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10022,,,,item,Leaf Regent,,Avatar,hair,1,,,hair_00303.png,113,97,,0,255,78,,그림,초록,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10023,,,,item,Twin Puff Hair,Classic Twin puff buns on each side.,Avatar,hair,1,,,hair_00304.png,156,110,,146,123,63,basic,그림,연갈색,,,"""{""""x"""":0,""""y"""":0.425,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10024,,,,item,Maple Forehead,,Avatar,hair,1,,,hair_00305.png,114,79,,255,255,255,,그림,검정,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10025,,,,item,Bowl Straight,,Avatar,hair,1,,,hair_00306.png,134,103,,233,180,88,,그림,귤색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10026,,,,item,Red Curtained hair,,Avatar,hair,1,,,hair_00307.png,124,113,,225,57,88,,그림,와인색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10027,,,,item,Silver Curtained hair,,Avatar,hair,1,,,hair_00308.png,124,97,,227,227,227,,그림,은색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10028,,,,item,hairstyle1,,Avatar,hair,1,,,hair_00309.png,124,89,,163,139,98,,그림,연갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10029,,,,item,hairstyle2,,Avatar,hair,1,,,hair_00310.png,162,106,,139,107,46,,그림,갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10030,,,,item,hairstyle3,,Avatar,hair,1,,,hair_00311.png,142,117,,204,67,229,,그림,보라,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10031,,,,item,hairstyle4,,Avatar,hair,1,,,hair_00312.png,147,110,,254,127,217,,그림,핑크,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10032,,,,item,Blunt Bob Hair,Classic sweet fringe that frames your face.,Avatar,hair,1,,,hair_00313.png,132,105,,205,134,108,basic,그림,연갈색,,,"""{""""x"""":-0.01,""""y"""":0.445,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10033,,,,item,Classic Hair,Classic everyday bangs.,Avatar,hair,1,,,hair_00314.png,124,81,,255,233,127,basic,그림,핑크,,,"""{""""x"""":0,""""y"""":0.535,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10034,,,,item,hairstyle7,,Avatar,hair,1,,,hair_00315.png,123,116,,212,175,55,,그림,연갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10035,,,,item,hairstyle8,,Avatar,hair,1,,,hair_00316.png,138,108,,156,249,141,,그림,연두색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10036,,,,item,hairstyle9,,Avatar,hair,1,,,hair_00317.png,125,73,,0,233,249,,그림,하늘색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10037,,,,item,hairstyle10,,Avatar,hair,1,,,hair_00318.png,230,124,,249,215,0,,그림,금색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10038,,,,item,hairstyle11,,Avatar,hair,1,,,hair_00319.png,143,132,,211,194,194,,그림,회색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10039,,,,item,hairstyle12,,Avatar,hair,1,,,hair_00320.png,184,128,,225,57,63,,그림,빨강,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10040,,,,item,hairstyle13,,Avatar,hair,1,,,hair_00321.png,183,93,,247,231,206,,그림,베이지,,,"""{""""x"""":0,""""y"""":0.435,""""z"""":-0.0015,""""r"""":0.96863,""""g"""":0.90588,""""b"""":0.80784,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10041,,,,item,hairstyle14,,Avatar,hair,1,,,hair_00322.png,131,113,,156,249,141,,그림,초록,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10042,,,,item,hairstyle15,,Avatar,hair,1,,,hair_00323.png,193,133,,233,180,88,,그림,주황색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10043,,,,item,hairstyle16,,Avatar,hair,1,,,hair_00324.png,161,157,,224,36,246,,그림,보라,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10044,,,,item,hairstyle17,,Avatar,hair,1,,,hair_00325.png,123,130,,0,233,249,,그림,하늘색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10045,,,,item,hairstyle18,,Avatar,hair,1,,,hair_00326.png,133,105,,33,87,208,,그림,파랑,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10046,,,,item,hairstyle19,,Avatar,hair,1,,,hair_00327.png,136,121,,225,57,63,,그림,빨강,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10047,,,,item,hairstyle20,,Avatar,hair,1,,,hair_00328.png,131,113,,139,107,46,,그림,갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10048,,,,item,hairstyle21,,Avatar,hair,1,,,hair_00329.png,133,105,,159,147,143,,그림,은색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10049,,,,item,hairstyle22,,Avatar,hair,1,,,hair_00330.png,160,119,,212,175,55,,그림,연갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10050,,,,item,hairstyle23,,Avatar,hair,1,,,hair_00331.png,124,78,,225,57,63,,그림,빨강,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10051,,,,item,hairstyle24,,Avatar,hair,1,,,hair_00332.png,122,87,,65,63,51,,그림,회색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10052,,,,item,hairstyle25,,Avatar,hair,1,,,hair_00333.png,135,104,,212,175,55,,그림,연갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10053,,,,item,hairstyle26,,Avatar,hair,1,,,hair_00334.png,134,119,,238,91,255,,그림,연보라,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10054,,,,item,hairstyle27,,Avatar,hair,1,,,hair_00335.png,135,147,,255,236,27,,그림,노랑,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10055,,,,item,hairstyle28,,Avatar,hair,1,,,hair_00336.png,151,148,,33,87,208,basic,그림,파랑,,,"""{""""x"""":-0.09,""""y"""":0.455,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10056,,,,item,hairstyle29,,Avatar,hair,1,,,hair_00337.png,135,87,,212,175,55,,그림,연갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10057,,,,item,hairstyle30,,Avatar,hair,1,,,hair_00338.png,190,138,,249,215,0,,그림,금색,,,"""{""""x"""":0,""""y"""":0.395,""""z"""":-0.0015,""""r"""":0.97647,""""g"""":0.84314,""""b"""":0,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10058,,,,item,hairstyle31,,Avatar,hair,1,,,hair_00339.png,146,116,,254,127,217,,그림,핑크,,,"""{""""x"""":0,""""y"""":0.44,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10059,,,,item,hairstyle32,,Avatar,hair,1,,,hair_00340.png,148,160,,224,36,246,,그림,보라색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10060,,,,item,hairstyle33,,Avatar,hair,1,,,hair_00341.png,194,133,,254,127,217,,그림,핑크,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10061,,,,item,hairstyle34,,Avatar,hair,1,,,hair_00342.png,137,111,,65,63,51,,그림,회색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10062,,,,item,hairstyle35,,Avatar,hair,1,,,hair_00343.png,145,110,,99,208,33,,그림,초록,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10063,,,,item,hairstyle36,,Avatar,hair,1,,,hair_00344.png,113,91,,225,57,63,,그림,빨강,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10064,,,,item,hairstyle37,,Avatar,hair,1,,,hair_00345.png,125,89,,159,147,143,,그림,은색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10065,,,,item,hairstyle38,,Avatar,hair,1,,,hair_00346.png,138,114,,247,231,206,,그림,베이지,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10066,,,,item,hairstyle39,,Avatar,hair,1,,,hair_00347.png,122,87,,0,233,249,,그림,하늘색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10067,,,,item,hairstyle40,,Avatar,hair,1,,,hair_00348.png,183,162,,249,215,0,,그림,노랑,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10068,,,,item,hairstyle41,,Avatar,hair,1,,,hair_00349.png,144,107,,225,57,63,,그림,빨강,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10069,,,,item,hairstyle42,,Avatar,hair,1,,,hair_00350.png,145,114,,254,127,217,,그림,핑크,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10070,,,,item,hairstyle43,,Avatar,hair,1,,,hair_00351.png,151,132,,224,36,246,,그림,보라,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10071,,,,item,hairstyle44,,Avatar,hair,1,,,hair_00352.png,125,124,,212,175,55,,그림,연갈색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10072,,,,item,hairstyle45,,Avatar,hair,1,,,hair_00353.png,144,130,,254,127,217,,그림,핑크,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10073,,,,item,hairstyle46,,Avatar,hair,1,,,hair_00354.png,126,135,,27,255,242,,그림,하늘색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10074,,,,item,hairstyle47,,Avatar,hair,1,,,hair_00355.png,161,119,,156,249,141,,그림,연두색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10075,,,,item,hairstyle48,,Avatar,hair,1,,,hair_00356.png,137,111,,159,147,143,,그림,은색,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10076,,,,item,hairstyle49,,Avatar,hair,1,,,hair_00357.png,171,132,,225,57,63,,그림,빨강,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
10077,,,,item,hairstyle50,,Avatar,hair,1,,,hair_00358.png,122,96,,255,255,255,,그림,,,,"""{""""x"""":0,""""y"""":0.5,""""z"""":-0.0015,""""r"""":1,""""g"""":1,""""b"""":1,""""a"""":1,""""f"""":0,""""angle"""":0}"""
